,Attacker,Graph size,Returns,Episode lengths
0,well-informed,7,-1132.0,146.0
1,well-informed,7,-40642.0,169.0
2,well-informed,7,-15351.0,178.0
3,well-informed,7,-898.0,20.0
4,well-informed,7,-2008.0,278.0
5,well-informed,27,-76015.0,342.0
6,well-informed,27,-44455.0,197.0
7,well-informed,27,-107198.0,456.0
8,well-informed,27,-126169.0,498.0
9,well-informed,27,-48027.0,598.0
10,well-informed,44,-137140.0,551.0
11,well-informed,44,-131876.0,808.0
12,well-informed,44,-124001.0,834.0
13,well-informed,44,-123777.0,703.0
14,well-informed,44,-74593.0,723.0
15,well-informed,56,-112629.0,1020.0
16,well-informed,56,-96419.0,502.0
17,well-informed,56,-133667.0,354.0
18,well-informed,56,-109580.0,749.0
19,well-informed,56,-76855.0,474.0
20,well-informed,62,-173383.0,482.0
21,well-informed,62,-93237.0,829.0
22,well-informed,62,-147103.0,539.0
23,well-informed,62,-101406.0,394.0
24,well-informed,62,-116283.0,563.0
25,well-informed,65,-146806.0,613.0
26,well-informed,65,-170101.0,439.0
27,well-informed,65,-115793.0,848.0
28,well-informed,65,-241443.0,935.0
29,well-informed,65,-111659.0,592.0
30,well-informed,78,-173085.0,1591.0
31,well-informed,78,-155491.0,1210.0
32,well-informed,78,-209994.0,1540.0
33,well-informed,78,-115303.0,873.0
34,well-informed,78,-148754.0,1299.0
35,informed,7,-1132.0,146.0
36,informed,7,-40642.0,169.0
37,informed,7,-15351.0,178.0
38,informed,7,-898.0,20.0
39,informed,7,-2008.0,278.0
40,informed,27,-76015.0,342.0
41,informed,27,-44455.0,197.0
42,informed,27,-107198.0,456.0
43,informed,27,-126169.0,498.0
44,informed,27,-48027.0,598.0
45,informed,44,-137140.0,551.0
46,informed,44,-131876.0,808.0
47,informed,44,-124001.0,834.0
48,informed,44,-123777.0,703.0
49,informed,44,-74593.0,723.0
50,informed,56,-112629.0,1020.0
51,informed,56,-96419.0,502.0
52,informed,56,-133667.0,354.0
53,informed,56,-109580.0,749.0
54,informed,56,-76855.0,474.0
55,informed,62,-173383.0,482.0
56,informed,62,-93237.0,829.0
57,informed,62,-147103.0,539.0
58,informed,62,-101406.0,394.0
59,informed,62,-116283.0,563.0
60,informed,65,-146806.0,613.0
61,informed,65,-170101.0,439.0
62,informed,65,-115793.0,848.0
63,informed,65,-241443.0,935.0
64,informed,65,-111659.0,592.0
65,informed,78,-173085.0,1591.0
66,informed,78,-155491.0,1210.0
67,informed,78,-209994.0,1540.0
68,informed,78,-115303.0,873.0
69,informed,78,-148754.0,1299.0
70,round-robin-no-action,7,-850.0,287.0
71,round-robin-no-action,7,-8809.0,487.0
72,round-robin-no-action,7,-1603.0,329.0
73,round-robin-no-action,7,-8436.0,131.0
74,round-robin-no-action,7,-6311.0,69.0
75,round-robin-no-action,27,-74830.0,579.0
76,round-robin-no-action,27,-87412.0,503.0
77,round-robin-no-action,27,-59151.0,1175.0
78,round-robin-no-action,27,-105786.0,1025.0
79,round-robin-no-action,27,-87708.0,638.0
80,round-robin-no-action,44,-134494.0,845.0
81,round-robin-no-action,44,-101747.0,829.0
82,round-robin-no-action,44,-86623.0,1770.0
83,round-robin-no-action,44,-79228.0,1321.0
84,round-robin-no-action,44,-60834.0,600.0
85,round-robin-no-action,56,-99889.0,2000.0
86,round-robin-no-action,56,-117585.0,1153.0
87,round-robin-no-action,56,-150031.0,1238.0
88,round-robin-no-action,56,-84447.0,692.0
89,round-robin-no-action,56,-111096.0,1257.0
90,round-robin-no-action,62,-166471.0,914.0
91,round-robin-no-action,62,-88083.0,1037.0
92,round-robin-no-action,62,-102565.0,728.0
93,round-robin-no-action,62,-88918.0,1108.0
94,round-robin-no-action,62,-84581.0,967.0
95,round-robin-no-action,65,-139430.0,1074.0
96,round-robin-no-action,65,-141528.0,1263.0
97,round-robin-no-action,65,-48203.0,1819.0
98,round-robin-no-action,65,-107383.0,890.0
99,round-robin-no-action,65,-121196.0,519.0
100,round-robin-no-action,78,-158037.0,2427.0
101,round-robin-no-action,78,-137020.0,1016.0
102,round-robin-no-action,78,-171579.0,1226.0
103,round-robin-no-action,78,-147852.0,1395.0
104,round-robin-no-action,78,-176686.0,791.0
105,round-robin,7,-1132.0,146.0
106,round-robin,7,-40642.0,169.0
107,round-robin,7,-15351.0,178.0
108,round-robin,7,-898.0,20.0
109,round-robin,7,-2008.0,278.0
110,round-robin,27,-76015.0,342.0
111,round-robin,27,-44455.0,197.0
112,round-robin,27,-107198.0,456.0
113,round-robin,27,-126169.0,498.0
114,round-robin,27,-48027.0,598.0
115,round-robin,44,-137140.0,551.0
116,round-robin,44,-131876.0,808.0
117,round-robin,44,-124001.0,834.0
118,round-robin,44,-123777.0,703.0
119,round-robin,44,-74593.0,723.0
120,round-robin,56,-112629.0,1020.0
121,round-robin,56,-96419.0,502.0
122,round-robin,56,-133667.0,354.0
123,round-robin,56,-109580.0,749.0
124,round-robin,56,-76855.0,474.0
125,round-robin,62,-173383.0,482.0
126,round-robin,62,-93237.0,829.0
127,round-robin,62,-147103.0,539.0
128,round-robin,62,-101406.0,394.0
129,round-robin,62,-116283.0,563.0
130,round-robin,65,-146806.0,613.0
131,round-robin,65,-170101.0,439.0
132,round-robin,65,-115793.0,848.0
133,round-robin,65,-241443.0,935.0
134,round-robin,65,-111659.0,592.0
135,round-robin,78,-173085.0,1591.0
136,round-robin,78,-155491.0,1210.0
137,round-robin,78,-209994.0,1540.0
138,round-robin,78,-115303.0,873.0
139,round-robin,78,-148754.0,1299.0
140,random-no-action,7,-818.0,303.0
141,random-no-action,7,-3889.0,838.0
142,random-no-action,7,-376.0,202.0
143,random-no-action,7,-24570.0,283.0
144,random-no-action,7,-2727.0,272.0
145,random-no-action,27,-74840.0,577.0
146,random-no-action,27,-113346.0,267.0
147,random-no-action,27,-87688.0,563.0
148,random-no-action,27,-39134.0,1244.0
149,random-no-action,27,-53219.0,1098.0
150,random-no-action,44,-134548.0,839.0
151,random-no-action,44,-169236.0,752.0
152,random-no-action,44,-70085.0,1287.0
153,random-no-action,44,-71268.0,1688.0
154,random-no-action,44,-106916.0,544.0
155,random-no-action,56,-100032.0,1989.0
156,random-no-action,56,-114226.0,783.0
157,random-no-action,56,-130372.0,1058.0
158,random-no-action,56,-91985.0,1445.0
159,random-no-action,56,-120009.0,1293.0
160,random-no-action,62,-166551.0,909.0
161,random-no-action,62,-112790.0,645.0
162,random-no-action,62,-101090.0,664.0
163,random-no-action,62,-120862.0,1743.0
164,random-no-action,62,-117616.0,800.0
165,random-no-action,65,-139510.0,1069.0
166,random-no-action,65,-108017.0,548.0
167,random-no-action,65,-99317.0,1475.0
168,random-no-action,65,-125957.0,1123.0
169,random-no-action,65,-134822.0,1874.0
170,random-no-action,78,-157533.0,2455.0
171,random-no-action,78,-158315.0,1608.0
172,random-no-action,78,-98491.0,1106.0
173,random-no-action,78,-117287.0,1568.0
174,random-no-action,78,-165499.0,961.0
175,random,7,-1132.0,146.0
176,random,7,-40642.0,169.0
177,random,7,-15351.0,178.0
178,random,7,-898.0,20.0
179,random,7,-2008.0,278.0
180,random,27,-76015.0,342.0
181,random,27,-44455.0,197.0
182,random,27,-107198.0,456.0
183,random,27,-126169.0,498.0
184,random,27,-48027.0,598.0
185,random,44,-137140.0,551.0
186,random,44,-131876.0,808.0
187,random,44,-124001.0,834.0
188,random,44,-123777.0,703.0
189,random,44,-74593.0,723.0
190,random,56,-112629.0,1020.0
191,random,56,-96419.0,502.0
192,random,56,-133667.0,354.0
193,random,56,-109580.0,749.0
194,random,56,-76855.0,474.0
195,random,62,-173383.0,482.0
196,random,62,-93237.0,829.0
197,random,62,-147103.0,539.0
198,random,62,-101406.0,394.0
199,random,62,-116283.0,563.0
200,random,65,-146806.0,613.0
201,random,65,-170101.0,439.0
202,random,65,-115793.0,848.0
203,random,65,-241443.0,935.0
204,random,65,-111659.0,592.0
205,random,78,-173085.0,1591.0
206,random,78,-155491.0,1210.0
207,random,78,-209994.0,1540.0
208,random,78,-115303.0,873.0
209,random,78,-148754.0,1299.0
210,well-informed,7,-3350.0,56.0
211,well-informed,7,-9983.0,88.0
212,well-informed,7,-10978.0,172.0
213,well-informed,7,-38152.0,138.0
214,well-informed,7,-3238.0,220.0
215,well-informed,27,-33712.0,508.0
216,well-informed,27,-63444.0,380.0
217,well-informed,27,-48462.0,526.0
218,well-informed,27,-133901.0,230.0
219,well-informed,27,-113529.0,317.0
220,well-informed,44,-43743.0,662.0
221,well-informed,44,-87472.0,787.0
222,well-informed,44,-68515.0,1306.0
223,well-informed,44,-100386.0,1051.0
224,well-informed,44,-160155.0,1077.0
225,well-informed,56,-169844.0,357.0
226,well-informed,56,-86260.0,513.0
227,well-informed,56,-55037.0,510.0
228,well-informed,56,-152052.0,414.0
229,well-informed,56,-102839.0,426.0
230,well-informed,62,-95230.0,395.0
231,well-informed,62,-107539.0,516.0
232,well-informed,62,-112131.0,608.0
233,well-informed,62,-122391.0,408.0
234,well-informed,62,-126551.0,569.0
235,well-informed,65,-140134.0,367.0
236,well-informed,65,-126136.0,572.0
237,well-informed,65,-136427.0,663.0
238,well-informed,65,-137021.0,717.0
239,well-informed,65,-160714.0,1075.0
240,well-informed,78,-140099.0,756.0
241,well-informed,78,-78997.0,1472.0
242,well-informed,78,-147181.0,1622.0
243,well-informed,78,-135367.0,1055.0
244,well-informed,78,-114625.0,1024.0
245,informed,7,-3350.0,56.0
246,informed,7,-9983.0,88.0
247,informed,7,-10978.0,172.0
248,informed,7,-38152.0,138.0
249,informed,7,-3238.0,220.0
250,informed,27,-33712.0,508.0
251,informed,27,-63444.0,380.0
252,informed,27,-48462.0,526.0
253,informed,27,-133901.0,230.0
254,informed,27,-113529.0,317.0
255,informed,44,-43743.0,662.0
256,informed,44,-87472.0,787.0
257,informed,44,-68515.0,1306.0
258,informed,44,-100386.0,1051.0
259,informed,44,-160155.0,1077.0
260,informed,56,-169844.0,357.0
261,informed,56,-86260.0,513.0
262,informed,56,-55037.0,510.0
263,informed,56,-152052.0,414.0
264,informed,56,-102839.0,426.0
265,informed,62,-95230.0,395.0
266,informed,62,-107539.0,516.0
267,informed,62,-112131.0,608.0
268,informed,62,-122391.0,408.0
269,informed,62,-126551.0,569.0
270,informed,65,-140134.0,367.0
271,informed,65,-126136.0,572.0
272,informed,65,-136427.0,663.0
273,informed,65,-137021.0,717.0
274,informed,65,-160714.0,1075.0
275,informed,78,-140099.0,756.0
276,informed,78,-78997.0,1472.0
277,informed,78,-147181.0,1622.0
278,informed,78,-135367.0,1055.0
279,informed,78,-114625.0,1024.0
280,round-robin-no-action,7,-3248.0,107.0
281,round-robin-no-action,7,-7921.0,171.0
282,round-robin-no-action,7,-13868.0,61.0
283,round-robin-no-action,7,-7292.0,93.0
284,round-robin-no-action,7,-896.0,259.0
285,round-robin-no-action,27,-32157.0,819.0
286,round-robin-no-action,27,-75739.0,624.0
287,round-robin-no-action,27,-70238.0,1613.0
288,round-robin-no-action,27,-70509.0,757.0
289,round-robin-no-action,27,-70442.0,325.0
290,round-robin-no-action,44,-41376.0,925.0
291,round-robin-no-action,44,-111356.0,1754.0
292,round-robin-no-action,44,-134956.0,1222.0
293,round-robin-no-action,44,-24826.0,1444.0
294,round-robin-no-action,44,-50905.0,1561.0
295,round-robin-no-action,56,-165801.0,668.0
296,round-robin-no-action,56,-108947.0,911.0
297,round-robin-no-action,56,-50750.0,1331.0
298,round-robin-no-action,56,-154559.0,1062.0
299,round-robin-no-action,56,-134552.0,1012.0
300,round-robin-no-action,62,-89598.0,747.0
301,round-robin-no-action,62,-134990.0,939.0
302,round-robin-no-action,62,-180980.0,501.0
303,round-robin-no-action,62,-177384.0,1270.0
304,round-robin-no-action,62,-42929.0,1505.0
305,round-robin-no-action,65,-135430.0,661.0
306,round-robin-no-action,65,-170221.0,965.0
307,round-robin-no-action,65,-70988.0,1267.0
308,round-robin-no-action,65,-114694.0,1271.0
309,round-robin-no-action,65,-145480.0,956.0
310,round-robin-no-action,78,-133781.0,1107.0
311,round-robin-no-action,78,-150574.0,983.0
312,round-robin-no-action,78,-287718.0,1677.0
313,round-robin-no-action,78,-95433.0,1453.0
314,round-robin-no-action,78,-164813.0,1708.0
315,round-robin,7,-3350.0,56.0
316,round-robin,7,-9983.0,88.0
317,round-robin,7,-10978.0,172.0
318,round-robin,7,-38152.0,138.0
319,round-robin,7,-3238.0,220.0
320,round-robin,27,-33712.0,508.0
321,round-robin,27,-63444.0,380.0
322,round-robin,27,-48462.0,526.0
323,round-robin,27,-133901.0,230.0
324,round-robin,27,-113529.0,317.0
325,round-robin,44,-43743.0,662.0
326,round-robin,44,-87472.0,787.0
327,round-robin,44,-68515.0,1306.0
328,round-robin,44,-100386.0,1051.0
329,round-robin,44,-160155.0,1077.0
330,round-robin,56,-169844.0,357.0
331,round-robin,56,-86260.0,513.0
332,round-robin,56,-55037.0,510.0
333,round-robin,56,-152052.0,414.0
334,round-robin,56,-102839.0,426.0
335,round-robin,62,-95230.0,395.0
336,round-robin,62,-107539.0,516.0
337,round-robin,62,-112131.0,608.0
338,round-robin,62,-122391.0,408.0
339,round-robin,62,-126551.0,569.0
340,round-robin,65,-140134.0,367.0
341,round-robin,65,-126136.0,572.0
342,round-robin,65,-136427.0,663.0
343,round-robin,65,-137021.0,717.0
344,round-robin,65,-160714.0,1075.0
345,round-robin,78,-140099.0,756.0
346,round-robin,78,-78997.0,1472.0
347,round-robin,78,-147181.0,1622.0
348,round-robin,78,-135367.0,1055.0
349,round-robin,78,-114625.0,1024.0
350,random-no-action,7,-3248.0,107.0
351,random-no-action,7,-7869.0,197.0
352,random-no-action,7,-8536.0,422.0
353,random-no-action,7,-6178.0,396.0
354,random-no-action,7,-19120.0,81.0
355,random-no-action,27,-32237.0,803.0
356,random-no-action,27,-56809.0,871.0
357,random-no-action,27,-57395.0,629.0
358,random-no-action,27,-58775.0,699.0
359,random-no-action,27,-62544.0,652.0
360,random-no-action,44,-41547.0,906.0
361,random-no-action,44,-38127.0,2193.0
362,random-no-action,44,-91120.0,1282.0
363,random-no-action,44,-141226.0,1399.0
364,random-no-action,44,-109273.0,1400.0
365,random-no-action,56,-166048.0,649.0
366,random-no-action,56,-94874.0,1023.0
367,random-no-action,56,-153476.0,1378.0
368,random-no-action,56,-150529.0,1393.0
369,random-no-action,56,-89504.0,1149.0
370,random-no-action,62,-89998.0,722.0
371,random-no-action,62,-159054.0,1051.0
372,random-no-action,62,-104147.0,1094.0
373,random-no-action,62,-177424.0,720.0
374,random-no-action,62,-83144.0,1517.0
375,random-no-action,65,-135478.0,658.0
376,random-no-action,65,-179906.0,702.0
377,random-no-action,65,-137499.0,857.0
378,random-no-action,65,-67782.0,1033.0
379,random-no-action,65,-68557.0,938.0
380,random-no-action,78,-133961.0,1097.0
381,random-no-action,78,-158577.0,2314.0
382,random-no-action,78,-65910.0,969.0
383,random-no-action,78,-102201.0,1644.0
384,random-no-action,78,-117227.0,1832.0
385,random,7,-3350.0,56.0
386,random,7,-9983.0,88.0
387,random,7,-10978.0,172.0
388,random,7,-38152.0,138.0
389,random,7,-3238.0,220.0
390,random,27,-33712.0,508.0
391,random,27,-63444.0,380.0
392,random,27,-48462.0,526.0
393,random,27,-133901.0,230.0
394,random,27,-113529.0,317.0
395,random,44,-43743.0,662.0
396,random,44,-87472.0,787.0
397,random,44,-68515.0,1306.0
398,random,44,-100386.0,1051.0
399,random,44,-160155.0,1077.0
400,random,56,-169844.0,357.0
401,random,56,-86260.0,513.0
402,random,56,-55037.0,510.0
403,random,56,-152052.0,414.0
404,random,56,-102839.0,426.0
405,random,62,-95230.0,395.0
406,random,62,-107539.0,516.0
407,random,62,-112131.0,608.0
408,random,62,-122391.0,408.0
409,random,62,-126551.0,569.0
410,random,65,-140134.0,367.0
411,random,65,-126136.0,572.0
412,random,65,-136427.0,663.0
413,random,65,-137021.0,717.0
414,random,65,-160714.0,1075.0
415,random,78,-140099.0,756.0
416,random,78,-78997.0,1472.0
417,random,78,-147181.0,1622.0
418,random,78,-135367.0,1055.0
419,random,78,-114625.0,1024.0
420,well-informed,7,-9069.0,73.0
421,well-informed,7,-6583.0,59.0
422,well-informed,7,-8431.0,31.0
423,well-informed,7,-17150.0,77.0
424,well-informed,7,-362.0,33.0
425,well-informed,27,-28441.0,483.0
426,well-informed,27,-68641.0,409.0
427,well-informed,27,-68723.0,804.0
428,well-informed,27,-45547.0,687.0
429,well-informed,27,-77448.0,300.0
430,well-informed,44,-109360.0,618.0
431,well-informed,44,-59311.0,760.0
432,well-informed,44,-90564.0,528.0
433,well-informed,44,-139871.0,746.0
434,well-informed,44,-37992.0,1147.0
435,well-informed,56,-96214.0,489.0
436,well-informed,56,-146594.0,468.0
437,well-informed,56,-84651.0,616.0
438,well-informed,56,-235144.0,453.0
439,well-informed,56,-117206.0,450.0
440,well-informed,62,-107575.0,448.0
441,well-informed,62,-208639.0,314.0
442,well-informed,62,-121130.0,384.0
443,well-informed,62,-70613.0,465.0
444,well-informed,62,-233333.0,343.0
445,well-informed,65,-130650.0,382.0
446,well-informed,65,-219113.0,658.0
447,well-informed,65,-65033.0,681.0
448,well-informed,65,-157392.0,443.0
449,well-informed,65,-95315.0,862.0
450,well-informed,78,-197644.0,710.0
451,well-informed,78,-139596.0,984.0
452,well-informed,78,-175116.0,818.0
453,well-informed,78,-193021.0,1165.0
454,well-informed,78,-107715.0,1325.0
455,informed,7,-9069.0,73.0
456,informed,7,-6583.0,59.0
457,informed,7,-8431.0,31.0
458,informed,7,-17150.0,77.0
459,informed,7,-362.0,33.0
460,informed,27,-28441.0,483.0
461,informed,27,-68641.0,409.0
462,informed,27,-68723.0,804.0
463,informed,27,-45547.0,687.0
464,informed,27,-77448.0,300.0
465,informed,44,-109360.0,618.0
466,informed,44,-59311.0,760.0
467,informed,44,-90564.0,528.0
468,informed,44,-139871.0,746.0
469,informed,44,-37992.0,1147.0
470,informed,56,-96214.0,489.0
471,informed,56,-146594.0,468.0
472,informed,56,-84651.0,616.0
473,informed,56,-235144.0,453.0
474,informed,56,-117206.0,450.0
475,informed,62,-107575.0,448.0
476,informed,62,-208639.0,314.0
477,informed,62,-121130.0,384.0
478,informed,62,-70613.0,465.0
479,informed,62,-233333.0,343.0
480,informed,65,-130650.0,382.0
481,informed,65,-219113.0,658.0
482,informed,65,-65033.0,681.0
483,informed,65,-157392.0,443.0
484,informed,65,-95315.0,862.0
485,informed,78,-197644.0,710.0
486,informed,78,-139596.0,984.0
487,informed,78,-175116.0,818.0
488,informed,78,-193021.0,1165.0
489,informed,78,-107715.0,1325.0
490,round-robin-no-action,7,-8933.0,141.0
491,round-robin-no-action,7,-446.0,497.0
492,round-robin-no-action,7,-15224.0,557.0
493,round-robin-no-action,7,-6320.0,125.0
494,round-robin-no-action,7,-8316.0,163.0
495,round-robin-no-action,27,-27186.0,734.0
496,round-robin-no-action,27,-64684.0,587.0
497,round-robin-no-action,27,-141599.0,590.0
498,round-robin-no-action,27,-46232.0,1709.0
499,round-robin-no-action,27,-65903.0,291.0
500,round-robin-no-action,44,-107407.0,835.0
501,round-robin-no-action,44,-107866.0,1142.0
502,round-robin-no-action,44,-93990.0,827.0
503,round-robin-no-action,44,-126051.0,1039.0
504,round-robin-no-action,44,-71175.0,1199.0
505,round-robin-no-action,56,-90416.0,935.0
506,round-robin-no-action,56,-112150.0,921.0
507,round-robin-no-action,56,-99673.0,1977.0
508,round-robin-no-action,56,-93053.0,846.0
509,round-robin-no-action,56,-118983.0,929.0
510,round-robin-no-action,62,-101111.0,852.0
511,round-robin-no-action,62,-167052.0,779.0
512,round-robin-no-action,62,-129097.0,827.0
513,round-robin-no-action,62,-144304.0,760.0
514,round-robin-no-action,62,-157499.0,946.0
515,round-robin-no-action,65,-125418.0,709.0
516,round-robin-no-action,65,-122209.0,1031.0
517,round-robin-no-action,65,-80524.0,1271.0
518,round-robin-no-action,65,-160107.0,1261.0
519,round-robin-no-action,65,-122837.0,1004.0
520,round-robin-no-action,78,-191200.0,1068.0
521,round-robin-no-action,78,-189414.0,1657.0
522,round-robin-no-action,78,-160398.0,1449.0
523,round-robin-no-action,78,-202052.0,1711.0
524,round-robin-no-action,78,-137169.0,1170.0
525,round-robin,7,-9069.0,73.0
526,round-robin,7,-6583.0,59.0
527,round-robin,7,-8431.0,31.0
528,round-robin,7,-17150.0,77.0
529,round-robin,7,-362.0,33.0
530,round-robin,27,-28441.0,483.0
531,round-robin,27,-68641.0,409.0
532,round-robin,27,-68723.0,804.0
533,round-robin,27,-45547.0,687.0
534,round-robin,27,-77448.0,300.0
535,round-robin,44,-109360.0,618.0
536,round-robin,44,-59311.0,760.0
537,round-robin,44,-90564.0,528.0
538,round-robin,44,-139871.0,746.0
539,round-robin,44,-37992.0,1147.0
540,round-robin,56,-96214.0,489.0
541,round-robin,56,-146594.0,468.0
542,round-robin,56,-84651.0,616.0
543,round-robin,56,-235144.0,453.0
544,round-robin,56,-117206.0,450.0
545,round-robin,62,-107575.0,448.0
546,round-robin,62,-208639.0,314.0
547,round-robin,62,-121130.0,384.0
548,round-robin,62,-70613.0,465.0
549,round-robin,62,-233333.0,343.0
550,round-robin,65,-130650.0,382.0
551,round-robin,65,-219113.0,658.0
552,round-robin,65,-65033.0,681.0
553,round-robin,65,-157392.0,443.0
554,round-robin,65,-95315.0,862.0
555,round-robin,78,-197644.0,710.0
556,round-robin,78,-139596.0,984.0
557,round-robin,78,-175116.0,818.0
558,round-robin,78,-193021.0,1165.0
559,round-robin,78,-107715.0,1325.0
560,random-no-action,7,-8881.0,167.0
561,random-no-action,7,-23200.0,490.0
562,random-no-action,7,-7927.0,535.0
563,random-no-action,7,-906.0,87.0
564,random-no-action,7,-4347.0,129.0
565,random-no-action,27,-27046.0,762.0
566,random-no-action,27,-39789.0,715.0
567,random-no-action,27,-69948.0,667.0
568,random-no-action,27,-129246.0,903.0
569,random-no-action,27,-40764.0,1028.0
570,random-no-action,44,-107128.0,866.0
571,random-no-action,44,-58537.0,1565.0
572,random-no-action,44,-33439.0,1150.0
573,random-no-action,44,-99705.0,1665.0
574,random-no-action,44,-109099.0,1298.0
575,random-no-action,56,-89766.0,985.0
576,random-no-action,56,-100781.0,803.0
577,random-no-action,56,-98822.0,913.0
578,random-no-action,56,-89671.0,463.0
579,random-no-action,56,-43262.0,1124.0
580,random-no-action,62,-100199.0,909.0
581,random-no-action,62,-87110.0,860.0
582,random-no-action,62,-241133.0,537.0
583,random-no-action,62,-125476.0,1141.0
584,random-no-action,62,-92618.0,928.0
585,random-no-action,65,-124650.0,757.0
586,random-no-action,65,-120988.0,923.0
587,random-no-action,65,-86427.0,1162.0
588,random-no-action,65,-155807.0,854.0
589,random-no-action,65,-83630.0,1288.0
590,random-no-action,78,-190336.0,1116.0
591,random-no-action,78,-127626.0,861.0
592,random-no-action,78,-188687.0,1233.0
593,random-no-action,78,-201884.0,897.0
594,random-no-action,78,-148638.0,1451.0
595,random,7,-9069.0,73.0
596,random,7,-6583.0,59.0
597,random,7,-8431.0,31.0
598,random,7,-17150.0,77.0
599,random,7,-362.0,33.0
600,random,27,-28441.0,483.0
601,random,27,-68641.0,409.0
602,random,27,-68723.0,804.0
603,random,27,-45547.0,687.0
604,random,27,-77448.0,300.0
605,random,44,-109360.0,618.0
606,random,44,-59311.0,760.0
607,random,44,-90564.0,528.0
608,random,44,-139871.0,746.0
609,random,44,-37992.0,1147.0
610,random,56,-96214.0,489.0
611,random,56,-146594.0,468.0
612,random,56,-84651.0,616.0
613,random,56,-235144.0,453.0
614,random,56,-117206.0,450.0
615,random,62,-107575.0,448.0
616,random,62,-208639.0,314.0
617,random,62,-121130.0,384.0
618,random,62,-70613.0,465.0
619,random,62,-233333.0,343.0
620,random,65,-130650.0,382.0
621,random,65,-219113.0,658.0
622,random,65,-65033.0,681.0
623,random,65,-157392.0,443.0
624,random,65,-95315.0,862.0
625,random,78,-197644.0,710.0
626,random,78,-139596.0,984.0
627,random,78,-175116.0,818.0
628,random,78,-193021.0,1165.0
629,random,78,-107715.0,1325.0
630,well-informed,7,-22387.0,99.0
631,well-informed,7,-30.0,75.0
